complaint_id,customer_id,timestamp,channel,complaint_text,related_to_fraud_case
CMP00095,CUST10341,2026-04-01 10:00:00,live_chat,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00259,CUST10222,2026-04-01 18:00:00,app_ticket,Customer reports their number was used to redeem a promo bundle multiple times without their consent.,1
CMP00029,CUST10760,2026-04-01 19:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00016,CUST10915,2026-04-01 20:00:00,live_chat,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00100,CUST10703,2026-04-01 21:00:00,email,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00202,CUST10577,2026-04-01 21:00:00,live_chat,Customer reported slow internet connection in Pekanbaru area during evening hours. Ticket escalated to network team.,0
CMP00025,CUST10149,2026-04-02 17:00:00,call_center,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00197,CUST10976,2026-04-02 17:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00181,CUST10489,2026-04-02 21:00:00,live_chat,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00123,CUST10631,2026-04-03 12:00:00,app_ticket,Customer reported slow internet connection in Malang area during evening hours. Ticket escalated to network team.,0
CMP00054,CUST10343,2026-04-03 16:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00101,CUST11114,2026-04-04 08:00:00,live_chat,Customer reported slow internet connection in Balikpapan area during evening hours. Ticket escalated to network team.,0
CMP00279,CUST10933,2026-04-04 18:00:00,call_center,Customer reports their number was used to redeem a promo bundle multiple times without their consent.,1
CMP00185,CUST10818,2026-04-04 21:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00247,CUST10704,2026-04-05 00:00:00,app_ticket,"Customer claims they did not perform the SIM swap registered on their account in Surabaya, requesting immediate investigation and account freeze.",1
CMP00019,CUST10514,2026-04-05 09:00:00,email,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00229,CUST10537,2026-04-05 17:00:00,live_chat,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
CMP00021,CUST10655,2026-04-06 08:00:00,email,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00212,CUST10051,2026-04-06 09:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00058,CUST10886,2026-04-06 14:00:00,email,Customer reported slow internet connection in Semarang area during evening hours. Ticket escalated to network team.,0
CMP00141,CUST11059,2026-04-07 18:00:00,email,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00205,CUST10730,2026-04-07 19:00:00,call_center,Customer asked for clarification about roaming charges after traveling to Bandung. Provided rate card information.,0
CMP00178,CUST10283,2026-04-08 16:00:00,live_chat,Customer reported slow internet connection in Semarang area during evening hours. Ticket escalated to network team.,0
CMP00142,CUST10574,2026-04-09 07:00:00,call_center,Customer reported slow internet connection in Denpasar area during evening hours. Ticket escalated to network team.,0
CMP00090,CUST10826,2026-04-09 07:00:00,email,Customer asked for clarification about roaming charges after traveling to Pekanbaru. Provided rate card information.,0
CMP00108,CUST10059,2026-04-09 13:00:00,live_chat,Customer reported slow internet connection in Semarang area during evening hours. Ticket escalated to network team.,0
CMP00106,CUST10828,2026-04-09 15:00:00,live_chat,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00228,CUST10314,2026-04-09 23:00:00,live_chat,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
CMP00262,CUST10671,2026-04-10 00:00:00,app_ticket,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
CMP00120,CUST10579,2026-04-10 18:00:00,live_chat,Customer reported slow internet connection in Palembang area during evening hours. Ticket escalated to network team.,0
CMP00192,CUST10132,2026-04-11 15:00:00,email,Customer asked for clarification about roaming charges after traveling to Palembang. Provided rate card information.,0
CMP00215,CUST10136,2026-04-11 21:00:00,call_center,Customer asked for clarification about roaming charges after traveling to Surabaya. Provided rate card information.,0
CMP00011,CUST11066,2026-04-12 17:00:00,app_ticket,Customer reported slow internet connection in Jakarta area during evening hours. Ticket escalated to network team.,0
CMP00133,CUST11043,2026-04-12 17:00:00,app_ticket,Customer reported slow internet connection in Semarang area during evening hours. Ticket escalated to network team.,0
CMP00128,CUST10421,2026-04-12 19:00:00,live_chat,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00264,CUST10031,2026-04-13 09:00:00,email,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
CMP00065,CUST10933,2026-04-13 10:00:00,app_ticket,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00171,CUST10669,2026-04-13 16:00:00,app_ticket,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00118,CUST11171,2026-04-14 09:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00050,CUST10939,2026-04-14 09:00:00,call_center,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00179,CUST10267,2026-04-14 16:00:00,call_center,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00064,CUST11070,2026-04-14 19:00:00,email,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00028,CUST10344,2026-04-15 07:00:00,app_ticket,Customer asked for clarification about roaming charges after traveling to Surabaya. Provided rate card information.,0
CMP00216,CUST10131,2026-04-16 08:00:00,call_center,Customer reported slow internet connection in Makassar area during evening hours. Ticket escalated to network team.,0
CMP00174,CUST10060,2026-04-16 12:00:00,email,Customer asked for clarification about roaming charges after traveling to Denpasar. Provided rate card information.,0
CMP00169,CUST10798,2026-04-17 07:00:00,call_center,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00060,CUST10708,2026-04-17 10:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00068,CUST10424,2026-04-17 18:00:00,email,Customer reported slow internet connection in Palembang area during evening hours. Ticket escalated to network team.,0
CMP00231,CUST10239,2026-04-18 06:00:00,email,Multiple failed login attempts detected on customer account followed by a password reset request from an unrecognized device.,1
